id,name,course,score,expert
1,"Janie Leuschke PhD","Proyek SI",2.7,"Knowledge Engineering"
1,"Janie Leuschke PhD","Proyek SI",2.7,"Ubiquitos Computing"
1,"Janie Leuschke PhD","Proyek SI",2.7,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD",Statistik,2,"Knowledge Engineering"
1,"Janie Leuschke PhD",NLP,2.7,"Knowledge Engineering"
1,"Janie Leuschke PhD","Organisasi & Arsitektur Komputer",3.3,"Knowledge Engineering"
1,"Janie Leuschke PhD","Organisasi & Arsitektur Komputer",3.3,"Ubiquitos Computing"
1,"Janie Leuschke PhD","Organisasi & Arsitektur Komputer",3.3,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD","Matkom 1",2.3,"Knowledge Engineering"
1,"Janie Leuschke PhD","Matkom 1",2.3,"Ubiquitos Computing"
1,"Janie Leuschke PhD","Matkom 1",2.3,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD",Sociotechnology,3.7,"Knowledge Engineering"
1,"Janie Leuschke PhD",Sociotechnology,3.7,"Ubiquitos Computing"
1,"Janie Leuschke PhD",Sociotechnology,3.7,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD",IMK,3,"Knowledge Engineering"
1,"Janie Leuschke PhD",IMK,3,"Ubiquitos Computing"
1,"Janie Leuschke PhD",IMK,3,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD","Matkom 2",2.7,"Knowledge Engineering"
1,"Janie Leuschke PhD","Matkom 2",2.7,"Ubiquitos Computing"
1,"Janie Leuschke PhD","Matkom 2",2.7,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD",OOP,4,"Knowledge Engineering"
1,"Janie Leuschke PhD",OOP,4,"Ubiquitos Computing"
1,"Janie Leuschke PhD",OOP,4,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD","Komunikasi Data",3,"Ubiquitos Computing"
1,"Janie Leuschke PhD",AI,2.7,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD",K3,2.7,"Knowledge Engineering"
1,"Janie Leuschke PhD",K3,2.7,"Ubiquitos Computing"
1,"Janie Leuschke PhD",K3,2.7,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD",Declarative,4,"Knowledge Engineering"
1,"Janie Leuschke PhD",Declarative,4,"Ubiquitos Computing"
1,"Janie Leuschke PhD",Declarative,4,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD",PTI,4,"Knowledge Engineering"
1,"Janie Leuschke PhD",PTI,4,"Ubiquitos Computing"
1,"Janie Leuschke PhD",PTI,4,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD",Compilation,3.3,"Ubiquitos Computing"
1,"Janie Leuschke PhD","Struktur Data",2.7,"Knowledge Engineering"
1,"Janie Leuschke PhD","Struktur Data",2.7,"Ubiquitos Computing"
1,"Janie Leuschke PhD","Struktur Data",2.7,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD","Big Data",3.7,"Knowledge Engineering"
1,"Janie Leuschke PhD",OS,2.7,"Knowledge Engineering"
1,"Janie Leuschke PhD",OS,2.7,"Ubiquitos Computing"
1,"Janie Leuschke PhD",OS,2.7,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD",Cryptography,3.7,"Ubiquitos Computing"
1,"Janie Leuschke PhD",Mobile,4,"Ubiquitos Computing"
1,"Janie Leuschke PhD",Game,3.7,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD","Open Source",3.7,"Ubiquitos Computing"
1,"Janie Leuschke PhD",Graphics,3.3,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD",MM,4,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD","Matkom 3",3.7,"Knowledge Engineering"
1,"Janie Leuschke PhD","Matkom 3",3.7,"Ubiquitos Computing"
1,"Janie Leuschke PhD","Matkom 3",3.7,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD",RPL,3,"Knowledge Engineering"
1,"Janie Leuschke PhD",RPL,3,"Ubiquitos Computing"
1,"Janie Leuschke PhD",RPL,3,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD","Algoritma & Pemrograman",3,"Knowledge Engineering"
1,"Janie Leuschke PhD","Algoritma & Pemrograman",3,"Ubiquitos Computing"
1,"Janie Leuschke PhD","Algoritma & Pemrograman",3,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD","Data Science",3,"Knowledge Engineering"
1,"Janie Leuschke PhD",IOT,3.7,"Ubiquitos Computing"
1,"Janie Leuschke PhD",Algorithm,3.7,"Knowledge Engineering"
1,"Janie Leuschke PhD",Algorithm,3.7,"Ubiquitos Computing"
1,"Janie Leuschke PhD",Algorithm,3.7,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD","Bahasa Inggris",4,"Knowledge Engineering"
1,"Janie Leuschke PhD","Bahasa Inggris",4,"Ubiquitos Computing"
1,"Janie Leuschke PhD","Bahasa Inggris",4,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD",KWU,3,"Knowledge Engineering"
1,"Janie Leuschke PhD",KWU,3,"Ubiquitos Computing"
1,"Janie Leuschke PhD",KWU,3,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD",Web,3.7,"Knowledge Engineering"
1,"Janie Leuschke PhD",Web,3.7,"Ubiquitos Computing"
1,"Janie Leuschke PhD",Web,3.7,"Game Technology & Machine Learning"
1,"Janie Leuschke PhD","Basis Data",3.3,"Knowledge Engineering"
1,"Janie Leuschke PhD","Basis Data",3.3,"Ubiquitos Computing"
1,"Janie Leuschke PhD","Basis Data",3.3,"Game Technology & Machine Learning"
2,"Kayleigh Treutel",Declarative,3.3,"Knowledge Engineering"
2,"Kayleigh Treutel",Declarative,3.3,"Ubiquitos Computing"
2,"Kayleigh Treutel",Declarative,3.3,"Game Technology & Machine Learning"
2,"Kayleigh Treutel","Matkom 1",2.7,"Knowledge Engineering"
2,"Kayleigh Treutel","Matkom 1",2.7,"Ubiquitos Computing"
2,"Kayleigh Treutel","Matkom 1",2.7,"Game Technology & Machine Learning"
2,"Kayleigh Treutel","Proyek SI",3.7,"Knowledge Engineering"
2,"Kayleigh Treutel","Proyek SI",3.7,"Ubiquitos Computing"
2,"Kayleigh Treutel","Proyek SI",3.7,"Game Technology & Machine Learning"
2,"Kayleigh Treutel",Mobile,3.7,"Ubiquitos Computing"
2,"Kayleigh Treutel","Algoritma & Pemrograman",3,"Knowledge Engineering"
2,"Kayleigh Treutel","Algoritma & Pemrograman",3,"Ubiquitos Computing"
2,"Kayleigh Treutel","Algoritma & Pemrograman",3,"Game Technology & Machine Learning"
2,"Kayleigh Treutel","Struktur Data",3,"Knowledge Engineering"
